1,2,3.1050,1.762101019
1,3,7.1168,2.667733120
1,6,19.5888,4.425923632
1,7,16.0013,0.23716119
1,8,11.2499,0.28284397
1,9,11.1904,3.345205524
1,10,6.4112,2.532034755
1,12,16.3254,4.04047027
1,14,12.9496,3.598555266
2,3,4.7824,2.186869909
2,10,8.7328,2.955131131
2,11,8.7734,2.961992573
3,4,4.8238,2.196315096
3,6,14.7134,3.835805
3,8,10.9752,3.31288394
3,11,6.3032,2.510617454
3,14,5.8764,2.424128709
4,5,5.9224,2.433598159
4,7,9.3104,3.051294807
4,8,10.0866,3.175940805
4,11,5.2926,2.300565148
4,13,17.2256,4.150373477
4,14,4.2066,2.050999756
5,6,4.8110,2.193399188
5,7,7.1572,2.675294376
5,11,8.5380,2.921985626
5,13,11.3352,3.366778876
5,14,8.0088,2.829982332
6,7,5.5418,2.354102801
7,8,6.4170,2.53317982
7,11,7.0532,2.655786136
7,12,5.2448,2.290152833
8,9,9.3608,3.059542449
8,10,6.1138,2.472609957
8,11,4.9740,2.230246623
8,12,5.1216,2.263095226
9,10,5.7272,2.393156911
9,12,12.3816,3.518749778
9,13,29.7630,5.455547635
9,14,21.0750,4.590751572
10,11,7.2796,2.698073387
10,13,25.9002,5.089223909
11,12,9.4300,0.308933787
11,13,19.4880,0.214900596
12,13,18.3824,4.287470117
12,14,17.3962,4.170875208
13,14,18.3366,4.28212564
